Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,per_hour,employer_estimate,glassdoor_estimate,min_salary,max_salary,mean_salary,job_state,company_age,python_skill,spark_skill,aws_skill,excel_skill
Data Scientist Software Engineer,$81K - $152K (Glassdoor est.),"This role can be performed remotely anywhere within the United States and Canada.
Reporting to the Signals Team Manager, you will be responsible for pioneering the next generation of customer insights to drive business value. Being the complete digital system of record for visitors' interactions on our customers' site, we have a tremendous amount of data! Your goal will be to deliver new proactive insights from this data (e.g., anomaly detection, relevancy scores). You will work with our engineers to expand our Data Science infrastructure.
As a Data Science Software Engineer, you will be a hybrid of a:
Data Scientist: Performing research and testing of algorithms for data-driven insights.",$81K - $152K (Glassdoor est.),FullStory,"Washington, DC",201 to 500 Employees,2014,Company - Private,Computer Hardware & Software,Computer Hardware & Software,Unknown / Non-Applicable,0,0,1,81,152,116.5, DC,8,0,0,0,0
Dashboard Data Scientist,$52K - $130K (Employer est.),"Chancellor's Office Statement
Join our team at the California State University, Office of the Chancellor, and make a difference in providing access to higher education. We are currently seeking experienced candidates for the position of Dashboard Data Scientist. The CSU Chancellor's Office, located on the waterfront adjacent to the Aquarium of the Pacific in downtown Long Beach, is the headquarters for the nation's largest and most diverse system of higher education. The CSU Chancellor's Office offers a premium benefit package that includes outstanding vacation, health, and dental plans; a fee waiver education program; membership in the California Public Employees Retirement System (PERS); and 14 paid holidays a year.
Salary
The salary range for this classification is $4,372 to $10,792 per month.",$52K - $130K (Employer est.),California State University,"Long Beach, CA",10000+ Employees,1962,College / University,Colleges & Universities,Colleges & Universities,$2 to $5 billion (USD),0,1,0,52,130,91.0, CA,60,0,0,0,0
Data Scientist (Remote),$54K - $129K (Glassdoor est.),"Join us as we pursue our vision to eliminate preventable sickness and transform kidney care using AI and data!

At pulseData, we provide value-based healthcare organizations and their care teams a patented data intelligence platform which helps deliver better care at less cost. As a company, we leverage data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes.

In this role, you will become a member of pulseData's data science team. You'll work on a suite of data science projects to meet the needs of our clients and get to contribute in massive ways towards a growing organization.

The Role:
As a data scientist, you will be part of the clinical domain expert panel here at pulseData. You'll assist with defining standard data quality checks at appropriate stages to ensure all data meets requirements for operations, diagnostics and reporting.",$54K - $129K (Glassdoor est.),pulseData,"New York, NY",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care Services & Hospitals,Unknown / Non-Applicable,0,0,1,54,129,91.5, NY,7,0,0,0,0
Junior Data Scientist,$75K - $149K (Glassdoor est.),"About ClimateAi
ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.

Culture
Everyone at ClimateAi is driven by a united passion to tackle climate change, and we don’t engage customers who negatively impact climate outcomes. We believe in a culture of truth and transparency, where feedback is considered an opportunity for us to contribute to each other’s personal and professional growth. We recognize the value of diversity, and we are an equal opportunity employer.",$75K - $149K (Glassdoor est.),ClimateAI,"San Francisco, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,0,1,75,149,112.0, CA,-1,0,0,0,0
DATA SCIENTIST,$102K - $110K (Employer est.),"DATA SCIENTIST
Job Number: 06A6-CDPH-2022
Description

JOB ANNOUNCEMENT
DATA SCIENTIST
Number of Positions: 1
Mission: To promote and improve health by engaging residents, communities, and partners in establishing and implementing policies and services that prioritize residents and communities with the greatest need.",$102K - $110K (Employer est.),City of Chicago,"Chicago, IL",10000+ Employees,Government,Unknown / Non-Applicable,-1,-1,-1,0,1,0,102,110,106.0, IL,-1,0,0,0,0
,$52K - $109K (Employer est.),"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data",$52K - $109K (Employer est.),KesarWeb,"Oklahoma City, OK",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,0,1,0,52,109,80.5, OK,-1,0,0,0,0
Sr Data Scientist,$112K - $245K (Glassdoor est.),"Remote, United States
Los Gatos, California
Data Science and Engineering
At Netflix, our mission is to entertain the world. With 200+ million paid members in over 190 countries enjoying TV series, documentaries, and feature films across a wide variety of genres and languages, Netflix is reinventing entertainment from end to end. We are revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving and personalizing how content is presented around the globe.

We are seeking Sr Data Scientists for a range of teams within Data Science and Engineering. From owning experimentation within the Open Connect network, building sophisticated tools on a world-class experimentation platform to provide seamless quality of experience, driving Growth and Membership of Netflix Platform, to unlocking the power of data in highly creative editorial creative space, evaluating the performance and optimizing personalization algorithms to deliver recommendations or building sophisticated experimentation tools - we have a few areas within which we are seeking Data Scientists driven by curiosity and passionate about working with a range of stakeholders.",$112K - $245K (Glassdoor est.),Netflix,"Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Internet,$5 to $10 billion (USD),0,0,1,112,245,178.5, CA,25,0,0,0,0
Data & Applied Scientist,$93K - $168K (Glassdoor est.),"At World’s Edge Studio, we are building the future of the Age of Empires Franchise. A foundational component of that future will be our capacity to generate and leverage player insights. To help us build that foundation, we are seeking a Data & Applied Scientist to join the team. If you are passionate about games, data science, and the opportunity to influence the direction of an amazing franchise with a beloved player base, then this role is for you!
Successful candidates will have experience providing end-to-end analytics support for gaming and/or consumer products—from driving telemetry design, validating data quality, building reports, to delivering analyses and sharing insights that positively impact players. Knowledge and previous application of different analytic and modeling techniques focused on understanding user experiences/satisfaction is required, as is a strong passion for driving data-oriented decision making. The individual in this role will also be an excellent communicator, regularly sharing player insights in an effective way to people of varied technical and analytical backgrounds. Finally, this individual will be an active collaborator with their analytics peers— sharing expertise and leveraging the work of others to enhance impact, and providing thought leadership on how to best use data to help shape the direction of our games.",$93K - $168K (Glassdoor est.),Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),0,0,1,93,168,130.5, WA,47,0,0,0,1
Data Scientist,$40 - $60 Per Hour(Employer est.),"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals
Bonus Points",$40 - $60 Per Hour(Employer est.),WorkCog,"California City, CA",51 to 200 Employees,2017,Company - Private,IT Services,IT Services,Unknown / Non-Applicable,1,1,0,40,60,50.0, CA,5,1,0,0,0
Data Scientist,$336K - $384K (Employer est.),"Role + Responsibilities
(Can Be Remote)
Continuously assess fit to introduce and implement Industry 4.0 opportunities to the Endress+Hauser organization, as well as digital products & services as they relate to data and analytics (e.g., artificial intelligence, machine learning, digital data exchange, big data analytics).
Identify, lead, and support opportunities to expand and improve suite of digital tools, internal workflow automation and optimization, sales enablement, and stakeholder communication (e.g., Salesforce.com, Endress.com, SAP).
Research, visualize, articulate, solve problems, and implement solutions and key metrics to be monitored.",$336K - $384K (Employer est.),Endress+Hauser Inc.,"Ann Arbor, MI",10000+ Employees,1968,Company - Private,Industrial Manufacturing,Industrial Manufacturing,$2 to $5 billion (USD),0,1,0,336,384,360.0, MI,54,0,0,0,0
